14,3,How many buckets of water do you use for washing clothes once?,33,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/Washing_bucket_uspqwy.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.mp4,main/Washing_bucket.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.webm,,,,RA-B,1
15,3,What is the size of the bucket that you use?,34,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/Washing_bucket_uspqwy.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.mp4,main/Washing_bucket.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.webm,,,,RA-S,1
16,3,What is the type of your washing machine?,35,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/Washing_machine_f2st8p.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_machine_f2st8p.mp4,main/Washing_machine.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_machine_f2st8p.webm,,,,CH,1
17,3,How many times do you wash clothes per week?,37,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/Washing_bucket_uspqwy.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.mp4,main/Washing_bucket.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_bucket_uspqwy.webm,,,,RA-T,0
18,3,How many times do you wash clothes per week?,36,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/Washing_machine_f2st8p.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_machine_f2st8p.mp4,main/Washing_machine.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/Washing_machine_f2st8p.webm,,,,RA-T,1
19,4,How do you clean your home?,40,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/cleaning_both_bn5vqf.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_both_bn5vqf.mp4,main/cleaning_both.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_both_bn5vqf.webm,,,,CH,0
20,4,How may buckets do you use per clean?,42,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/cleaning_mop_b5q09l.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_mop_b5q09l.mp4,main/cleaning_mop.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_mop_b5q09l.webm,,,,RA-B,1
21,4,What is the size of the bucket that you use?,43,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/cleaning_mop_b5q09l.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_mop_b5q09l.mp4,main/cleaning_mop.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/cleaning_mop_b5q09l.webm,,,,RA-S,1
22,5,How much water do you use for cooking?,50,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849761/kitchen-1_q7okmw.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen-1_q7okmw.mp4,main/kitchen-1.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen-1_q7okmw.webm,,,,RA-L,0
23,5,How do you wash your dishes?,51,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849762/kitchen-utensils_both_uhpyol.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/kitchen-utensils_both_uhpyol.mp4,main/kitchen-utensils_both.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849762/kitchen-utensils_both_uhpyol.webm,,,,CH,0
24,5,How many loads per day do you wash?,52,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849761/kitchen_utensils_dishwasher_psao7v.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen_utensils_dishwasher_psao7v.mp4,main/kitchen_utensils_dishwasher.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849761/kitchen_utensils_dishwasher_psao7v.webm,,,,RA-T,1
25,5,How long do you leave the kitchen faucet running for washing dishes?,55,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/kitchen-utensils-tap_nfce7y.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/kitchen-utensils-tap_nfce7y.mp4,main/kitchen-utensils-tap.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/kitchen-utensils-tap_nfce7y.webm,,,,RA,0
26,5,How long do you leave the kitchen faucet running each day other than for washing utensils?,59,10,10,10,10,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849763/kitchen-utensils-tap_nfce7y.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/kitchen-utensils-tap_nfce7y.mp4,main/kitchen-utensils-tap.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849763/kitchen-utensils-tap_nfce7y.webm,,,,RA,1
27,6,How much water do you drink per day?,60,1,1,1,1,https://res.cloudinary.com/dvfxeiuvz/video/upload/ac_none/v1563849760/drink-1_slxqaw.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/drink-1_slxqaw.mp4,main/drink-1.mp4,https://res.cloudinary.com/dvfxeiuvz/video/upload/v1563849760/drink-1_slxqaw.webm,,,,RA-L,0
