115,11,6 buckets,26,1,6,,,,,,,
116,11,7 buckets,26,1,7,,,,,,,
117,11,8 buckets,26,1,8,,,,,,,
118,11,9 buckets,26,1,9,,,,,,,
119,11,10 buckets,26,1,10,,,,,,,
120,12,5 litres,27,3,5,,,,,,,
121,12,10 litres,27,3,10,,,,,,,
122,12,15 litres,27,3,15,,,,,,,
123,12,20 litres,27,3,20,,,,,,,
124,12,25 litres,27,3,25,,,,,,,
125,12,30 litres,27,3,30,,,,,,,
126,13,Washing Machine,30,5,0,,,,,,,
127,13,Manually,30,3,0,,,,,,,
128,14,0 buckets,33,1,0,,,,,,,
129,14,1 buckets,33,1,1,,,,,,,
130,14,2 buckets,33,1,2,,,,,,,
131,14,3 buckets,33,1,3,,,,,,,
132,14,4 buckets,33,1,4,,,,,,,
133,14,5 buckets,33,1,5,,,,,,,
134,14,6 buckets,33,1,6,,,,,,,
135,14,7 buckets,33,1,7,,,,,,,
136,14,8 buckets,33,1,8,,,,,,,
137,14,9 buckets,33,1,9,,,,,,,
138,14,10 buckets,33,1,10,,,,,,,
139,15,5 litres,34,3,5,,,,,,,
140,15,10 litres,34,3,10,,,,,,,
141,15,15 litres,34,3,15,,,,,,,
142,15,20 litres,34,3,20,,,,,,,
143,15,25 litres,34,3,25,,,,,,,
144,15,30 litres,34,3,30,,,,,,,
145,16,Fully Automatic Front Load,35,1,60,,,,,,,
146,16,Fully automatic Top Load,35,1,140,,,,,,,
147,16,Semi-Automatic,35,1,120,,,,,,,
148,17,0 times,36,4,0,,,,,,,
149,17,1 times,36,4,1,,,,,,,
150,17,2 times,36,4,2,,,,,,,
151,17,3 times,36,4,3,,,,,,,
152,17,4 times,36,4,4,,,,,,,
153,17,5 times,36,4,5,,,,,,,
154,17,6 times,36,4,6,,,,,,,
155,17,7 times,36,4,7,,,,,,,
156,17,8 times,36,4,8,,,,,,,
157,17,9 times,36,4,9,,,,,,,
158,17,10 times,36,4,10,,,,,,,
159,18,0 times,37,3,0,,,,,,,
160,18,1 times,37,3,1,,,,,,,
161,18,2 times,37,3,2,,,,,,,
162,18,3 times,37,3,3,,,,,,,
163,18,4 times,37,3,4,,,,,,,
164,18,5 times,37,3,5,,,,,,,
165,18,6 times,37,3,6,,,,,,,
166,18,7 times,37,3,7,,,,,,,
167,18,8 times,37,3,8,,,,,,,
168,18,9 times,37,3,9,,,,,,,
169,18,10 times,37,3,10,,,,,,,
170,19,Vacuum Cleaner,40,10,0,,,,,,,
171,19,Mop and Water,40,2,0,,,,,,,
172,20,0 buckets,42,1,0,23,,,,,,
173,20,1 buckets,42,1,1,23,,,,,,
174,20,2 buckets,42,1,2,23,,,,,,
175,20,3 buckets,42,1,3,23,,,,,,
176,20,4 buckets,42,1,4,23,,,,,,
177,20,5 buckets,42,1,5,23,,,,,,
178,20,6 buckets,42,1,6,23,,,,,,
179,20,7 buckets,42,1,7,23,,,,,,
180,20,8 buckets,42,1,8,23,,,,,,
181,20,9 buckets,42,1,9,23,,,,,,
182,20,10 buckets,42,1,10,23,,,,,,
183,21,5 litres,43,7,5,24,,,,,,
184,21,10 litres,43,7,10,24,,,,,,
185,21,15 litres,43,7,15,24,,,,,,
